author_id	author_orchid_id	author_fname	author_lname	author_dblp_url	author_dblp_key	author_gscholar_url	author_affiliation	author_page
147	 	Jeffrey	Hancock	https://dblp.org/pid/68/1822	homepages/68/1822	https://scholar.google.com/scholar?q=	"Stanford University, CA, USA"	author's page @ stanford.eduGoogle Scholar profile
148	 	Jeffrey	Nichols	https://dblp.org/pid/59/3064	homepages/59/3064	https://scholar.google.com/scholar?q=	Google	author's page @ jeffreynichols.com
149	 	Uzi	Cohen	https://dblp.org/pid/185/2936	homepages/185/2936	https://scholar.google.com/scholar?q=Uzi+Cohen		 
150	 	Vaishak	Suresh	https://dblp.org/pid/151/6925	homepages/151/6925	https://scholar.google.com/scholar?q=Vaishak+Suresh		 
151	 	Valentina	Zanardi	https://dblp.org/pid/03/4189	homepages/03/4189	https://scholar.google.com/scholar?q=Valentina+Zanardi		 
152	 	Vanessa	Murdock	https://dblp.org/pid/84/3308	homepages/84/3308	https://scholar.google.com/scholar?q=Vanessa+Murdock		 
153	"ID inferred from metadata,verification pending"	Vangel	Ajanovski	https://dblp.org/pid/133/2535	homepages/133/2535	https://scholar.google.com/scholar?q=Vangel+V.+Ajanovski		 
154	 	Vedran	Sabol	https://dblp.org/pid/49/2826	homepages/49/2826	https://scholar.google.com/scholar?q=Vedran+Sabol		 
155	 	Veronica	Maidel	https://dblp.org/pid/91/1992	homepages/91/1992	https://scholar.google.com/scholar?q=Veronica+Maidel		 
156	 	Veronika	Bogina	https://dblp.org/pid/176/8151	homepages/176/8151	https://scholar.google.com/scholar?q=Veronika+Bogina		 
157	 	Verus	Pronk	https://dblp.org/pid/77/2540	homepages/77/2540	https://scholar.google.com/scholar?q=Verus+Pronk		 
158	 	Vicente	Dominguez	https://dblp.org/pid/202/2464	homepages/202/2464	https://scholar.google.com/scholar?q=Vicente+Dominguez		 
159	 	Victor	Ayala	https://dblp.org/pid/161/6104	homepages/161/6104	https://scholar.google.com/scholar?q=	"University of Freiburg, Germany"	author's page @ uni-freiburg.de
160	 	Victor	Codina	https://dblp.org/pid/45/3518	homepages/45/3518	https://scholar.google.com/scholar?q=Victor+Codina		 
161	 	Victor	Lavrenko	https://dblp.org/pid/56/3029	homepages/56/3029	https://scholar.google.com/scholar?q=Victor+Lavrenko		 
162	 	Vidhya	Murali	https://dblp.org/pid/185/2843	homepages/185/2843	https://scholar.google.com/scholar?q=Vidhya+Murali		 
163	 	Vijai	Mohan	https://dblp.org/pid/29/5306	homepages/29/5306	https://scholar.google.com/scholar?q=Vijai+Mohan		 
164	 	Vijay	Dialani	https://dblp.org/pid/60/6249	homepages/60/6249	https://scholar.google.com/scholar?q=Vijay+Dialani		 
165	 	Vikas	Kumar	https://dblp.org/pid/21/1587	homepages/21/1587	https://scholar.google.com/scholar?q=Vikas+Kumar		 
166	 	Vikram	Pudi	https://dblp.org/pid/80/594	homepages/80/594	https://scholar.google.com/scholar?q=Vikram+Pudi		 
167	 	Vincent	Guigue	https://dblp.org/pid/61/1640	homepages/61/1640	https://scholar.google.com/scholar?q=Vincent+Guigue		 
168	 	Vincent	Oria	https://dblp.org/pid/o/VincentOria	homepages/o/VincentOria	https://scholar.google.com/scholar?q=	"New Jersey Institute of Technology, Newark, USA"	author's page @ njit.edu
169	0000-0002-0754-7696	Vincenzo	Moscato	https://dblp.org/pers/hb/m/Moscato:Vincenzo.html	homepages/97/4042	https://scholar.google.com/scholar?q=Vincenzo+Moscato		https://orcid.org/0000-0002-0754-7696
170	 	Vinod	Krishnan	https://dblp.org/pid/22/4243	homepages/22/4243	https://scholar.google.com/scholar?q=Vinod+Krishnan		 
171	 	Vito	Bellini	https://dblp.org/pid/202/2336	homepages/202/2336	https://scholar.google.com/scholar?q=Vito+Bellini		 
